Arbol,Altura,DAP,Latitud NG,Latitud NM,Latitud NS,Longitud OG,Longitud OM,Longitud OS,Especie,Acro,Crecimiento,Rep,Tip Rep,Orientacion,Cobertura,
21,4,8,19,29,14.8,97,2,22.4,Parmotrema sp. ,PaSp,Fol,NaN,NaN,NaN,NaN,
22,2.5,3,19,29,14.8,97,2,22.4,Brigantiaea leucoxantha,BrLeu,Cos,Sex,apot,NaN,NaN,
22,2.5,3,19,29,14.8,97,2,22.4,Graphis aff. dupaxana,GrDup,Cos,Sex,Lirel,NaN,NaN,
22,2.5,3,19,29,14.8,97,2,22.4,Graphis aff. immersicans,GrIm,Cos,Sex,Lirel,NaN,NaN,
22,2.5,3,19,29,14.8,97,2,22.4,Graphis conferta,GrCon,Cos,Sex,Lirel,NaN,NaN,
22,2.5,3,19,29,14.8,97,2,22.4,Graphis ingarum,GrIng,Cos,Sex,Lirel,NaN,NaN,
22,2.5,3,19,29,14.8,97,2,22.4,Graphis pinicola,GrPin,Cos,Sex,Lirel,NaN,NaN,
22,2.5,3,19,29,14.8,97,2,22.4,Graphis prunicola,GrPru,Cos,Sex,Lirel,NaN,NaN,
22,2.5,3,19,29,14.8,97,2,22.4,Graphis ruiziana,GrRui,Cos,Sex,Lirel,NaN,NaN,
22,2.5,3,19,29,14.8,97,2,22.4,Graphis sp.,GrSp,Cos,Sex,Lirel,NaN,NaN,
22,2.5,3,19,29,14.8,97,2,22.4,Hemithecium implicatum,HeImp,Cos,Sex,Lirel,NaN,NaN,
22,2.5,3,19,29,14.8,97,2,22.4,Malmidea vinosa,MaVin,Cos,Sex,Apot,NaN,NaN,
22,2.5,3,19,29,14.8,97,2,22.4,Ocellularia praestantoides,OcPra,Cos,Sex,Apot,NaN,NaN,
22,2.5,3,19,29,14.8,97,2,22.4,Phaeographis spondaica,PhSpo,Cos,Sex,Lirel,NaN,NaN,
22,2.5,3,19,29,14.8,97,2,22.4,Pseudopyrenula subnudata,PsSu,Cos,Sex,Perit,NaN,NaN,
